Id;Year;Edition;Film;Won;Nominees;Record;Writer;Age (in years);Ref.
369;2014;87;The Grand Budapest Hotel;False;Screenplay: Wes Anderson;;;;
4;1940;13;The Great Dictator;False;;;;;
0;1940;13;The Great McGinty;True;;;;;
413;2023;96;The Holdovers;False;David Hemingson;;;;
151;1971;44;The Hospital;True;Paddy Chayefsky‡;;;;
341;2009;82;The Hurt Locker;True;Mark Boal‡;;;;
319;2004;77;The Incredibles;False;Brad Bird;;;;
350;2010;83;The Kids Are All Right;False;Stuart Blumberg & Lisa Cholodenko;;;;
346;2010;83;The King's Speech;True;David Seidler‡;;;;
80;1956;29;The Ladykillers;False;William Rose;;;;
183;1977;50;The Late Show;False;Robert Benton;;;;
56;1952;25;The Lavender Hill Mob;True;T. E. B. Clarke‡;;;;
379;2016;89;The Lobster;False;Efthimis Filippou & Yorgos Lanthimos;;;;
49;1950;23;The Men;False;Carl Foreman;;;;
343;2009;82;The Messenger;False;Alessandro Camon & Oren Moverman;;;;
22;1944;17;The Miracle of Morgan's Creek;False;;;;;
130;1966;39;The Naked Prey;False;Clint Johnston & Don Peters;;;;
64;1953;26;The Naked Spur;False;Harold Jack Bloom & Sam Rolfe;;;;
18;1943;16;The North Star;False;;;;;
224;1985;58;The Official Story;False;Aída Bortnik & Luis Puenzo;;;;
119;1964;37;The Organizer;False;Age, Mario Monicelli & Furio Scarpelli;;;;
261;1993;66;The Piano;True;Jane Campion‡;;;;
136;1968;41;The Producers;True;Mel Brooks‡;;;;
225;1985;58;The Purple Rose of Cairo;False;Woody Allen;;;;
330;2006;79;The Queen;False;Peter Morgan;;;;
45;1949;22;The Quiet One;False;;;;;
76;1956;29;The Red Balloon;True;Albert Lamorisse‡;;;;
305;2001;74;The Royal Tenenbaums;False;Wes Anderson & Owen Wilson;;;;
335;2007;80;The Savages;False;Tamara Jenkins;;;;
75;1955;28;The Seven Little Foys;False;Melville Shavelson & Jack Rose;;;;
30;1946;19;The Seventh Veil;True;;;;;
384;2017;90;The Shape of Water;False;Screenplay: Guillermo del Toro & Vanessa Taylor;;;;
89;1958;31;The Sheepman;False;Screenplay: William Bowers & James Edward Grant;;;;
294;1999;72;The Sixth Sense;False;M. Night Shyamalan;;;;
324;2005;78;The Squid and the Whale;False;Noah Baumbach;;;;
161;1973;46;The Sting;True;David S. Ward‡;;;;
84;1957;30;The Tin Star;False;Screenplay: Dudley Nichols;;;;
124;1965;38;The Train;False;Franklin Coen & Frank Davis;;;;
401;2020;93;The Trial of the Chicago 7;False;Aaron Sorkin;;;;
290;1998;71;The Truman Show;False;Andrew Niccol;;;;
185;1977;50;The Turning Point;False;Arthur Laurents;;;;
125;1965;38;The Umbrellas of Cherbourg;False;Jacques Demy;;;;
271;1995;68;The Usual Suspects;True;Christopher McQuarrie‡;;;;
14;1942;15;The War Against Mrs. Hadley;False;;;;;
55;1951;24;The Well;False;Clarence Greene & Russell Rouse;;;;
145;1969;42;The Wild Bunch;False;Screenplay: Walon Green & Sam Peckinpah;;;;
406;2021;94;The Worst Person in the World;False;Joachim Trier & Eskil Vogt;;;;
251;1991;64;Thelma & Louise;True;Callie Khouri‡;;;;
123;1965;38;Those Magnificent Men in Their Flying Machines;False;Ken Annakin & Jack Davies;;;;
